name_en,name_fr,serving_size,serving_size_fr,calories,fat,saturated_fat,trans_fat,polyunsaturated_fat,monounsaturated_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugars,protein,vitamin_d,calcium,iron,potassium,vitamin_a,vitamin_c,serving_size_100,calories_100,fat_100,saturated_fat_100,trans_fat_100,polyunsaturated_fat_100,monounsaturated_fat_100,cholesterol_100,sodium_100,carbohydrates_100,dietary_fiber_100,sugars_100,protein_100,vitamin_d_100,calcium_100,iron_100,potassium_100,vitamin_a_100,vitamin_c_100
1% Fat Buttermilk,Babeurre 1% de matière grasse,1 fl oz,1 once liquide,12,0.27,0.168,-,0.01,0.078,1,32,1.47,0,1.47,01.01,-,35,0.02,46,2,0.3,100 g,40,0.88,0.548,-,0.033,0.254,4,105,4.79,0,4.79,3.31,-,116,0.05,151,7,1
1% Fat Milk,Lait 1% de matières grasses,1 cup,1 tasse,102,2.37,1.545,-,0.085,0.676,12,107,12.18,0,12.69,8.22,-,290,0.07,366,142,0,100 g,42,0.97,0.633,-,0.035,0.277,5,44,4.99,0,5.2,3.37,-,119,0.03,150,58,0
100% Maple Syrup,Sirop d'érable 100%,1 tbsp,1 cuillère à soupe,52,0.04,0.007,-,0.02,0.013,0,2,13.42,0,11.9,0,-,13,0.24,41,0,0,100 g,261,0.2,0.036,-,0.1,0.064,0,9,67.09,0,59.52,0,-,67,1.2,204,0,0
100% Natural Barley,Orge 100% naturelle,1/3 cup (48 g),1/3 tasse (48 g),160,0.50,0.000,0.000,0.000,0.000,0,0,37.00,5.0,2.00,5.00,-,-,-,115,-,-,1/3 cup (48 g),160,0.50,0.000,0.000,0.000,0.000,0,0,37.00,5.0,2.00,5.00,-,-,-,115,-,-
100% Whole Wheat Bread,Pain 100 % blé entier,1 regular slice,1 tranche régulière,69,1.18,0.257,-,0.281,0.47,0,148,12.91,1.9,1.56,2.72,-,20,0.92,71,0,0,100 g,246,4.2,0.917,-,1.003,1.68,0,527,46.1,6.9,5.57,9.7,-,72,3.3,252,0,0
100% Whole Wheat Bread with Raisins,Pain 100 % blé entier aux raisins secs,1 slice,1 tranche,66,0.98,0.213,-,0.232,0.388,0,122,12.97,1.7,03.05,2.32,-,18,0.82,78,0,0.1,100 g,252,3.77,0.818,-,0.892,1.493,0,468,49.9,6.5,11.74,8.94,-,69,3.14,301,0,0.2
100% Whole Wheat or 100% Whole Grain Waffle,Gaufre 100 % blé entier ou 100 % grains entiers,"1 round (4"" dia) (include frozen)","1 rond (4"" de diamètre) (y compris surgelé)",104,4.38,1.204,-,1.079,1.731,37,193,13,1,3,3.6,-,101,0.83,89,25,0,100 g,267,11.22,3.086,-,2.766,4.438,94,495,33.33,2.5,7.69,9.22,-,259,2.14,228,65,0
"14"" Pepperoni Pizza","Pizza au pepperoni 14""",1 slice,1 tranche,298,12.13,5.26,-,2.061,3.728,29,683,33.98,1.6,4.11,13.32,0,168,2.38,186,60,0,100 g,276,11.23,4.87,-,1.908,3.452,27,632,31.46,1.5,3.81,12.33,0,156,2.2,172,56,0
"14"" Pepperoni Pizza (Thick Crust)","Pizza Pepperoni 14"" (croûte épaisse)",1 slice,1 tranche,301,13.24,5.276,-,2.552,3.988,30,654,32.22,1.9,3.2,13.18,0,170,2.31,181,65,0,100 g,284,12.49,4.977,-,2.408,3.762,28,617,30.4,1.8,03.02,12.43,0,160,2.18,171,61,0
"14"" Thin Crust Pepperoni Feast Pizza",Pizza festive au pepperoni à croûte mince de 14 po,1 slice (104 g),1 tranche (104 g),312,19.50,7.500,-,-,-,30,750,21.00,2.0,2.00,13.00,-,-,-,-,-,-,1 slice (104 g),312,19.50,7.500,-,-,-,30,750,21.00,2.0,2.00,13.00,-,-,-,-,-,-
